seed,condition,combination,F,R,C,FR,RC,FC,FRC
11,depth3,R,1.0,0.5333333611488342,0.9333333373069763,0.75,0.49166667461395264,0.5333333611488342,0.7250000238418579
11,depth3,C,1.0,0.4749999940395355,0.9916666746139526,0.7416666746139526,0.5166666507720947,0.5,0.800000011920929
11,depth3,F+R,1.0,0.6166666746139526,0.8916666507720947,0.7583333253860474,0.5,0.550000011920929,0.7083333134651184
11,depth3,R+C,1.0,0.5416666865348816,0.9916666746139526,0.75,0.5166666507720947,0.5,0.800000011920929
11,depth3,F+C,1.0,0.5583333373069763,0.9833333492279053,0.75,0.5166666507720947,0.5,0.800000011920929
11,depth3,F+R+C,1.0,0.6000000238418579,0.9833333492279053,0.7583333253860474,0.5166666507720947,0.5,0.800000011920929
11,agg_sum,F,1.0,0.5916666388511658,0.9833333492279053,0.7416666746139526,0.5166666507720947,0.5083333253860474,0.800000011920929
11,agg_sum,R,1.0,0.5666666626930237,0.949999988079071,0.7666666507720947,0.4833333194255829,0.5249999761581421,0.800000011920929
11,agg_sum,C,0.5333333611488342,0.5,0.9916666746139526,0.28333333134651184,0.5166666507720947,0.5083333253860474,0.800000011920929
11,agg_sum,F+R,1.0,0.5583333373069763,0.9416666626930237,0.75,0.5,0.5083333253860474,0.7833333611488342
11,agg_sum,R+C,1.0,0.5083333253860474,0.9916666746139526,0.699999988079071,0.5166666507720947,0.5,0.800000011920929
11,agg_sum,F+C,1.0,0.5666666626930237,0.9916666746139526,0.6666666865348816,0.5166666507720947,0.5,0.800000011920929
11,agg_sum,F+R+C,1.0,0.5583333373069763,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5,0.800000011920929
11,agg_max,F,1.0,0.4583333432674408,0.824999988079071,0.75,0.5249999761581421,0.5416666865348816,0.6666666865348816
11,agg_max,R,1.0,0.550000011920929,0.8666666746139526,0.6916666626930237,0.4833333194255829,0.5416666865348816,0.7083333134651184
11,agg_max,C,1.0,0.46666666865348816,0.9833333492279053,0.7083333134651184,0.5166666507720947,0.5083333253860474,0.7916666865348816
11,agg_max,F+R,1.0,0.574999988079071,0.8666666746139526,0.7333333492279053,0.4749999940395355,0.550000011920929,0.6833333373069763
11,agg_max,R+C,1.0,0.5833333134651184,1.0,0.699999988079071,0.5166666507720947,0.5083333253860474,0.800000011920929
11,agg_max,F+C,1.0,0.46666666865348816,0.9833333492279053,0.7583333253860474,0.5166666507720947,0.5083333253860474,0.7916666865348816
11,agg_max,F+R+C,1.0,0.574999988079071,0.9916666746139526,0.75,0.5166666507720947,0.5083333253860474,0.800000011920929
11,cap_mlp,F,1.0,0.5583333373069763,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5166666507720947,0.7916666865348816
11,cap_mlp,R,1.0,0.5833333134651184,0.9666666388511658,0.75,0.5,0.5,0.7749999761581421
11,cap_mlp,C,0.75,0.49166667461395264,0.9916666746139526,0.5083333253860474,0.5166666507720947,0.5,0.800000011920929
11,cap_mlp,F+R,1.0,0.574999988079071,0.9583333134651184,0.7666666507720947,0.49166667461395264,0.5083333253860474,0.7749999761581421
11,cap_mlp,R+C,1.0,0.5666666626930237,0.9916666746139526,0.699999988079071,0.5166666507720947,0.5,0.800000011920929
11,cap_mlp,F+C,0.9916666746139526,0.5,0.9833333492279053,0.625,0.5166666507720947,0.5,0.800000011920929
11,cap_mlp,F+R+C,1.0,0.574999988079071,0.9833333492279053,0.7416666746139526,0.5166666507720947,0.5,0.800000011920929
11,cap_control_featwide,F,1.0,0.4583333432674408,0.8999999761581421,0.7333333492279053,0.5833333134651184,0.5,0.7333333492279053
11,cap_control_featwide,R,0.7583333253860474,0.4000000059604645,0.8666666746139526,0.574999988079071,0.5666666626930237,0.4833333194255829,0.7083333134651184
11,cap_control_featwide,C,0.5,0.40833333134651184,0.9916666746139526,0.5583333373069763,0.5166666507720947,0.5,0.800000011920929
11,cap_control_featwide,F+R,1.0,0.5249999761581421,0.8916666507720947,0.75,0.5666666626930237,0.4749999940395355,0.7333333492279053
11,cap_control_featwide,R+C,0.5,0.4166666567325592,0.9916666746139526,0.5916666388511658,0.5166666507720947,0.5,0.800000011920929
11,cap_control_featwide,F+C,1.0,0.42500001192092896,0.9916666746139526,0.7083333134651184,0.5166666507720947,0.5,0.800000011920929
11,cap_control_featwide,F+R+C,1.0,0.44999998807907104,0.9916666746139526,0.699999988079071,0.5166666507720947,0.5,0.800000011920929
23,baseline,F,1.0,0.625,0.824999988079071,0.7250000238418579,0.4833333194255829,0.5,0.7416666746139526
23,baseline,R,1.0,0.6166666746139526,0.8083333373069763,0.6499999761581421,0.46666666865348816,0.49166667461395264,0.7250000238418579
23,baseline,C,0.8416666388511658,0.5916666388511658,0.9916666746139526,0.7416666746139526,0.5166666507720947,0.5083333253860474,0.8333333134651184
23,baseline,F+R,1.0,0.5916666388511658,0.8083333373069763,0.7166666388511658,0.46666666865348816,0.5083333253860474,0.7166666388511658
